Files already downloaded and verified
Files already downloaded and verified
INFO:root:Beginning training for 1000 epochs (782000 steps) on device: cuda:0
INFO:root:Steps: 100 ; Loss: 4.605173020362854
INFO:root:Steps: 200 ; Loss: 4.605536832809448
INFO:root:Steps: 300 ; Loss: 4.605318651199341
INFO:root:Steps: 400 ; Loss: 4.605001645088196
INFO:root:Steps: 500 ; Loss: 4.605736536979675
INFO:root:Steps: 600 ; Loss: 4.605143637657165
INFO:root:Steps: 700 ; Loss: 4.6058280611038205
INFO:root:Steps: 800 ; Loss: 4.60501091003418
INFO:root:Steps: 900 ; Loss: 4.605249938964843
INFO:root:Steps: 1000 ; Loss: 4.605400643348694
INFO:root:Steps: 1100 ; Loss: 4.604758152961731
INFO:root:Steps: 1200 ; Loss: 4.6054190826416015
INFO:root:Steps: 1300 ; Loss: 4.6053797721862795
INFO:root:Steps: 1400 ; Loss: 4.605552048683166
INFO:root:Steps: 1500 ; Loss: 4.604947280883789
INFO:root:Steps: 1600 ; Loss: 4.606073050498963
INFO:root:Steps: 1700 ; Loss: 4.605280513763428
INFO:root:Steps: 1800 ; Loss: 4.605092620849609
INFO:root:Steps: 1900 ; Loss: 4.605473093986511
INFO:root:Steps: 2000 ; Loss: 4.605669326782227
INFO:root:Steps: 2100 ; Loss: 4.604748048782349
INFO:root:Steps: 2200 ; Loss: 4.6056955671310424
INFO:root:Steps: 2300 ; Loss: 4.605397477149963
INFO:root:Steps: 2400 ; Loss: 4.605560660362244
INFO:root:Steps: 2500 ; Loss: 4.605370755195618
INFO:root:Steps: 2600 ; Loss: 4.6046661758422855
INFO:root:Steps: 2700 ; Loss: 4.605184283256531
INFO:root:Steps: 2800 ; Loss: 4.605836839675903
INFO:root:Steps: 2900 ; Loss: 4.605845322608948
INFO:root:Steps: 3000 ; Loss: 4.605503873825073
INFO:root:Steps: 3100 ; Loss: 4.605988907814026
INFO:root:Steps: 3200 ; Loss: 4.6053511333465575
INFO:root:Steps: 3300 ; Loss: 4.605801725387574
INFO:root:Steps: 3400 ; Loss: 4.605811705589295
INFO:root:Steps: 3500 ; Loss: 4.605692448616028
INFO:root:Steps: 3600 ; Loss: 4.605263304710388
INFO:root:Steps: 3700 ; Loss: 4.605702953338623
INFO:root:Steps: 3800 ; Loss: 4.605437426567078
INFO:root:Steps: 3900 ; Loss: 4.604878358840942
INFO:root:Steps: 4000 ; Loss: 4.605065793991089
INFO:root:Steps: 4100 ; Loss: 4.605520377159118
INFO:root:Steps: 4200 ; Loss: 4.605451989173889
INFO:root:Steps: 4300 ; Loss: 4.605445165634155
INFO:root:Steps: 4400 ; Loss: 4.6050001955032345
INFO:root:Steps: 4500 ; Loss: 4.605423192977906
INFO:root:Steps: 4600 ; Loss: 4.604346718788147
INFO:root:Steps: 4700 ; Loss: 4.605165281295776
INFO:root:Steps: 4800 ; Loss: 4.605535926818848
INFO:root:Steps: 4900 ; Loss: 4.604900674819946
INFO:root:Steps: 5000 ; Loss: 4.605345950126648
INFO:root:evaluation accuracy: 1%
INFO:root:Steps: 5100 ; Loss: 4.605145554542542
INFO:root:Steps: 5200 ; Loss: 4.605001144409179
INFO:root:Steps: 5300 ; Loss: 4.6050937414169315
INFO:root:Steps: 5400 ; Loss: 4.6052010631561275
INFO:root:Steps: 5500 ; Loss: 4.605178074836731
INFO:root:Steps: 5600 ; Loss: 4.6056855773925784
INFO:root:Steps: 5700 ; Loss: 4.605878582000733
INFO:root:Steps: 5800 ; Loss: 4.6049592351913455
INFO:root:Steps: 5900 ; Loss: 4.605495800971985
INFO:root:Steps: 6000 ; Loss: 4.605153965950012
INFO:root:Steps: 6100 ; Loss: 4.604515271186829
INFO:root:Steps: 6200 ; Loss: 4.6054675483703615
INFO:root:Steps: 6300 ; Loss: 4.605161533355713
INFO:root:Steps: 6400 ; Loss: 4.605371417999268
INFO:root:Steps: 6500 ; Loss: 4.604540066719055
INFO:root:Steps: 6600 ; Loss: 4.605162563323975
INFO:root:Steps: 6700 ; Loss: 4.6050890445709225
INFO:root:Steps: 6800 ; Loss: 4.605928983688354
INFO:root:Steps: 6900 ; Loss: 4.6057744884490965
INFO:root:Steps: 7000 ; Loss: 4.605432896614075
INFO:root:Steps: 7100 ; Loss: 4.605391879081726
INFO:root:Steps: 7200 ; Loss: 4.6049276638031005
INFO:root:Steps: 7300 ; Loss: 4.6055291223526
INFO:root:Steps: 7400 ; Loss: 4.605658106803894
INFO:root:Steps: 7500 ; Loss: 4.605349655151367
INFO:root:Steps: 7600 ; Loss: 4.605139207839966
INFO:root:Steps: 7700 ; Loss: 4.605029540061951
INFO:root:Steps: 7800 ; Loss: 4.605031423568725
INFO:root:Steps: 7900 ; Loss: 4.605087904930115
INFO:root:Steps: 8000 ; Loss: 4.60559485912323
INFO:root:Steps: 8100 ; Loss: 4.605114903450012
INFO:root:Steps: 8200 ; Loss: 4.605324501991272
INFO:root:Steps: 8300 ; Loss: 4.605172410011291
INFO:root:Steps: 8400 ; Loss: 4.605339150428772
INFO:root:Steps: 8500 ; Loss: 4.6052317047119145
INFO:root:Steps: 8600 ; Loss: 4.605273094177246
